wyniki wychodzace;;;;;wyniki obliczone;
liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;Blad bezwzgledny Gauss;Blad bezwzgledny Gauss(zoptymalizowany); Blad bezwzgledny Gauss-Seidel
34;1.06993041E9;7.3330481E7;1.021211292E9;1.56633035E8;34;1.0550329414122922E9;5.49099984485752E7;9.561271513303946E8;6.851290839498916E8;1.4897468587707758E7;1.84204825514248E7;6.5084140669605374E7;5.2849604894989157E8
35;1.272814361E9;8.5646026E7;1.224889277E9;1.89453339E8;35;1.2323859882983024E9;6.758281424431333E7;1.0847001135549688E9;7.810059979954975E8;4.042837270169759E7;1.806321175568667E7;1.4018916344503117E8;5.915526589954975E8
36;1.499315073E9;9.4080293E7;1.347991849E9;2.24605743E8;36;1.4381974660954914E9;8.204296793855077E7;1.226337720824355E9;8.795461596534812E8;6.111760690450859E7;1.203732506144923E7;1.2165412817564511E8;6.549404166534812E8
37;1.728023605E9;1.07835895E8;1.463612449E9;2.68141859E8;37;1.676254018635022E9;9.840843064669889E7;1.3818202340047367E9;9.807495689238429E8;5.1769586364978075E7;9427464.353301108;8.179221499526334E7;7.126077099238429E8
38;2.005351957E9;1.30073835E8;1.543387612E9;3.18689392E8;38;1.9506949707093492E9;1.1680036189269394E8;1.5519490020938172E9;1.0846162258065827E9;5.4656986290650845E7;1.3273473107306063E7;8561390.093817234;7.659268338065827E8
39;2.329614672E9;2.12006884E8;1.773489807E9;3.83955079E8;39;2.266032355211111E9;1.373431096089965E8;1.7375464622208173E9;1.1911461303017004E9;6.358231678888893E7;7.466377439100349E7;3.594334477918267E7;8.071910513017004E8
40;2.667136309E9;1.41462734E8;1.999078219E9;4.40340498E8;40;2.6271714673019896E9;1.601642101365922E8;1.9394561396464763E9;1.3003392824091957E9;3.9964841698010445E7;1.870147613659221E7;5.962207935352373E7;8.599987844091957E8
41;3.130937675E9;1.74437071E8;2.137167488E9;5.19277161E8;41;3.0394319456115427E9;1.853943882249909E8;2.158542647763053E9;1.4121956821290696E9;9.15057293884573E7;1.0957317224990904E7;2.137515976305294E7;8.929185211290696E8
42;3.647660408E9;2.00750318E8;2.299540727E9;6.00266907E8;42;3.5085693804660044E9;2.1316755703222734E8;2.3956916880943236E9;1.5267153294613206E9;1.3909102753399563E8;1.2417239032227337E7;9.615096109432364E7;9.264484224613206E8
43;4.08498476E9;2.15385651E8;2.626754548E9;8.45372411E8;43;4.0407974491470633E9;2.4362081812486088E8;2.651810050295583E9;1.6438982244059503E9;4.4187310852936745E7;2.8235167124860883E7;2.505550229558277E7;7.985258134059503E8
