wyniki wychodzace,,,,,wyniki obliczone,,,,,,,
liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,Blad bezwzgledny Gauss, Blad bezwzgledny Gauss(zoptymalizowany), Blad bezwzgledny Gauss-Seidel
47,7287650662,350247801,3996036422,,47,7238317693.38674,425303495.304125,3937514418.91947,,49332968.6132641,75055694.3041247,58522003.0805321
48,8106798762,393255375,4399664431,,48,8236372986.54514,480856537.114684,4294149792.716,,129574224.545137,87601162.1146836,105514638.284
49,9136047274,432496647,4621485770,,49,9349587794.86005,541002499.188095,4674340485.97701,,213540520.860052,108505852.188095,52854715.9770145
50,10334591732,474253469,4982080016,,50,10588316625.8083,605951029.082886,5079072986.37099,,253724893.808249,131697560.082886,96992970.3709879
51,11626803994,521245421,5436088677,,51,11963582036.6135,675915967.308754,5509353511.31977,,336778042.613487,154670546.308754,73264834.319766
52,13131475406,817030214,5719432779,,52,13487102017.985,751115347.326568,5966208007.99856,,355626611.984985,65914866.6734325,246775228.998563
53,15002357909,905960562,6327795657,,53,15171317914.7919,831771395.548366,6450682153.33597,,168960005.791931,74189166.4516342,122886496.335965
54,16968220461,750265234,7344915007,,54,17029422883.674,918110531.337358,6963841354.01393,,61202422.674036,167845297.337358,381073652.986073
55,20522027065,1142531422,7878221690,,55,19075390887.5881,1010363367.00792,7506770746.46777,,1446636177.41185,132168054.992077,371450943.532228
56,21087649416,1161806097,8055802076,,56,21324006227.2909,1108764707.82561,8080575196.88619,,236356811.290909,53041389.1743879,24773120.8861942
57,23825321460,1276599190,8584448126,,57,23790893609.7575,1213553552.00715,8686379301.21126,,34427850.2425385,63045637.9928539,101931175.211256
58,26273529124,1390606996,9288819139,,58,26492548753.5362,1324973090.72042,9325327385.13839,,219019629.536186,65633905.2795835,36508246.1383877
59,29356239124,1480197455,9968058760,,59,29446369531.0395,1443270708.08449,9998583504.1164,,90130407.0395203,36926746.915514,30524744.1163959
,,,,,,,,,,średnia,średnia,średnia
"Czas dla 100,000 z budowaniem",,,,,,,,,,108776704.072018,48712047.7463482,65878954.7888113
 Gauss(bez optymalizacji),6.28858483850839E+15,Gauss(z optymalizacja),7204668053930.45,Gauss-Seidel,34099005817084.9,,,,,na sekundy,na sekundy,na sekundy
,,,,,,,,,,0.108776704072018,0.0487120477463482,0.0658789547888113
